broadcast_abstract,hard_news_gold,geography_gold,sample_id,length,n,time,year
"REPORTER: John Chancellor(No location given) Estimated amount lost by IRS (Internal Revenue Service) through cheating on income taxes mentioned. [Prof. Robert MASON - discusses reasons for cheating.] [MAN - cites financial motivation for cheating.] Amt. he earned and amt. he actually claimed mentioned. Case involving 1 type of deduction outlined as example; problems surrounding IRS's ability to audit tax returns considered. [IRS spokesperson William WILLIAMS - notes image of IRS.] [Paul STRASSELS - calls for standing up to IRS.] Strassels' claim that people are often entitled to larger deductions than they take outlined on screen, discussed. [Irwin SCHIFF - claims that not paying taxes isn't illegal.] Shift's imprisonment for not paying his taxes announced; film shown.REPORTER: Mike Jensen (WVIT-TV newstape)",hard_news,national,531594,819,13046,250,1981
"President Carter's meeting with delegation of govs. to discuss federal water policy noted. President's troubles last year in trying to cut 18 water projects and congress override that resulted in 9 cases, include Russell Dam on Georgia-SC border, recalled.REPORTER: Frank Reynolds(Elberton, Georgia) Report on continued controversy over Russell Dam; government's plans for land in area outlined. 80-yr.-old Cade Cleveland's intention to fight to keep land, in area to be partially covered by damned water, detailed. [CLEVELAND - isn't looking to shoot anyone and knows that if water is backed up, it will cover his land; won't leave his house , though.] History of A.B. Hutchinson's home, built when James Monroe was pres., given. [HUTCHINSON - guesses he'll be forced out of home and off farm due to Russell Reservoir.] Details given about other dams on Savannah River and preparations for Russell Dam. Opponents' arguments against dam stated.REPORTER: Roger Peterson",hard_news,national,563391,968,10537,150,1978
"Report on situation in Los Angeles since beginning of school busing plan.REPORTER: Frank Reynolds(Los Angeles, California) Los Angeles school board figures with regard to student enrollment noted. Lower number of white students than expected at Breed Saint School in Mexican-American section of city given as example Enrollment of many white students in private schools and in home tutorial programs detailed. [Tutorial teacher Sharon LAWENDA - says group signed contract for semester, as long as mandatory busing is effective.] Thoughts of parents and students about tutorial programs stated. [Student Jeff RUBIN - won't get graduation from 6th grade and isn't with friends.] School officials' designation of busing as successful, despite low white attendance, cited.REPORTER: Jim Mitchell",hard_news,local,537570,790,10537,110,1978
Incr. in personal bankruptcies in last quarter of 1979 reported; details given.REPORTER: Walter Cronkite,hard_news,national,515254,104,12296,20,1980
"REPORTER: Roger Mudd(Princeton, New Jersey) Play, """"""""Einstein, The Man"""""""", starring Bill Landry, featured. [LANDRY - performs.] Background on Albert Einstein given; films and photos shown. [Banesh HOFFMAN - talks about Einstein.] Einstein's life in Princeton noted; films, photos shown. [EINSTEIN - states relativity theory.] Letter to President Roosevelt with regard to atomic bomb mentioned. Film of David Ben-Gurion and Einstein with regard to offer of Israeli presidency shown, courtesy """"""""NOVA"""""""", WGBH Boston. Photos of universe, courtesy Hale Observatories. """"""""Zvi Gezar"""""""" shown on screen.REPORTER: Charles Osgood",soft_news,"national
international",541076,615,12190,250,1979
"(Studio: Peter Jennings) .(Port-au-Prince, Haiti: Peter Collins) Violence on election day yesterday at polling places in Haiti reported; details given, scenes shown. Terrorists said remnants of army of exiled president Jean-Claude Duvalier called Tontons Macoute. [Haitian political leader Eddy SAINT PIERRE - says Duvalier and Tontons Macoute want to destroy democracy in Haiti.] Street attacks by Tontons Macoute gangs reported; scenes shown. [Ex-US ambassador to El Salvador Robert WHITE - says army worked with terrorists against democracy.] Elec. commission reported cancelling elecs. following attacks. New elecs. said to be under rules of Haitian leader General Henri Namphy. [WHITE - says won't be free elecs. under Namphy.] Haiti military reported ignoring United States pressure for elecs. Little hope for end of terror reported(DC: Jeanne Meserve) Cutting off of aid by United States to Haiti reported; details given. [States Department spokesperson Charles REDMAN - says United States disapproves of actions in Haiti.] Call for more drastic action in Haiti noted. [Congress Task Force on Haiti delegate Walter FAUNTROY - calls for international leadership from US.] State Department's position that Haiti must solve own problems noted.(Studio: Peter Jennings) Wounding of ABC crewmen Javier Carillo and Alfredo Mejia during violence yesterday reported; details given.",hard_news,international,424146,1379,11144,260,1987
"Department of Health, Education and Welfare Secretary Joseph Califano's opening of government campaign against cigarette smoking reported.REPORTER: Walter Cronkite(DC) Califano quoted with regard to reasons for anti-smoking campaign. [CALIFANO - lists dangers of cigarette smoking.] Details of campaign listed. Warning to women taking birth control pills of dangers of smoking noted. Other aspects include: no smoking on airplanes; tougher warnings and possibly higher taxes on cigarettes,; new Surgeon General's report; more education against smoking. Anti-smoking org's. criticism noted. That Califano plan won't censure government price-support program for tobacco pointed out. Carter and Congress stance on this noted.REPORTER: Barry Serafin",hard_news,national,562609,745,10537,130,1978
"House Ways and Means Committee said meeting to vote on how to cut millions from Medicare and other benefit programs. Vote said resulting in cut in Medicare benefits plus extension of time for paying unempl. benefits by raising income taxes on these. Influence of private money on government said illustrated by maze of tax laws and their loopholes passed by Congress Tax sheltered benefits said subject of comment.REPORTER: Dan Rather Chris Evert Lloyd, and others cited as being considered corps. by IRS, with result that individuals can set up retirement funds on tax exempt basis. Dr. Jack Moshein cited. [MOSHEIN - talks of benefits to himself by plan.] Details given. [Representative Charles RANGEL - explains purpose of reform bill.] Side effects caused by reform measures explained. [MOSHEIN - claims he is responsible for entire income of his office.] [Attorney David BRADY - talks of flaws in reasoning.] [MOSHEIN - says if he can't benefit from pension plan, he will abandon it.] Tax reform said possibly meaningless. Clamor to make tax shelters extinct noted.REPORTER: Bill Moyers",hard_news,national,509658,1091,12403,270,1982
"(Studio: Tom Brokaw) .(San Ysidro, California: Don Oliver) Scenes shown of Mexicans trying to convert their pesos into dollars. [MAN - says government has lost control.] Plunging peso discussed. Banks reported closing. [MAN - says they have to stop trading until the market settles down.] Mexican market's behavior said being compared to US panic. Impact discussed of falling peso upon Mexican economy Mexicans reported crossing United States border to purchase products. [WOMAN - says Mexican business will have to lay off employees.] Tourists said enjoying economy situation because of United States dollar increase buying power. [WOMAN - describes great deal on leather handbag.] Mexican companies exporting goods reported benefiting from drop in peso. Govt. officials quoted regarding necessity of peso dropping. Mexican inflation discussed. Mexican workers shown demonstrating for increase wages.",hard_news,international,426727,901,11144,130,1987
"REPORTER: Peter Jennings(Central Falls, Rhode Island) Cocaine trafficking here examined; films shown. [Detective Mike WHITE - describes receive reports across nation of Central Falls residents being arrested for cocaine dealing.] [Drug Enforcement Admin. spokesperson Robert STUTMAN - notes implications.] Percentage of town's population that are Colombian immigrants noted; cocaine network out of Central Falls illustrated on map. Apparent background to current situation explained, discussed. Activities of reputed traffickers (named) described; their photos shown. [Lieutenant Rudy LEGENZA - recalls circumstances under which some were caught.] Legenza and White said responsible for cracking cocaine operation here. [LEGENZA and WHITE - discuss situation.] [Mayor Carlos SILVA - claims authorities are on top of situation.] Effect of Colombian traffickers on other Colombian immigrants here noted [Resident Marisol MOLINA - is angered that innocent Colombians are suffering due to traffickers.] [LEGENZA - was amazed at findings.]REPORTER: Mark Potter",hard_news,international,466640,1055,12031,300,1985
"Taiwanese air force major recalled defecting to China (PR) last yearREPORTER: Tom Jarriel(Peking, China, PR) Major Huang Zhicheng's hero status here examined; films shown. His remarks during press conference translated; propaganda use of Huang by Peking noted.REPORTER: Jim Laurie",hard_news,international,497915,280,13046,110,1981
Withdrawal of Kurt Waldheim from race for Secretary General of United Nations reported.REPORTER: John Chancellor(NYC) China (PR) stance with regard to Waldheim and United States position with regard to Salim Salim noted. [Donald McHENRY - says United States wants independent Secretary General whose thinking is consistent with US.] Other contenders noted. Waldheim said still possible compromise candidateREPORTER: Bill McLaughlin,hard_news,international,506881,431,13046,110,1981
"(Studio: Tom Jarriel) .(Moscow, USSR : Mike Lee) Mikhail Gorbachev's extension of Soviet moratorium on nuclear testing examined; details given, scenes shown. [GORBACHEV - (thru translator) cites deadline for extension.] Public relations benefits of USSR moratorium reviewed. [GORBACHEV - (thru translator) calls on President Reagan to equal Soviet decision.](Santa Barbara, California: Sam Donaldson) United States response featured; scenes shown. [State Department spokesperson Charles REDMAN - dismisses nuclear testing moratorium as not in United States ints.] Press spokesperson Larry Speakes' statement outlined on screen. [Soviet expert Marshall GOLDMAN - feels Gorbachev is using issue purely for propaganda.] Congress pressure on Reagan to agree to moratorium described.",hard_news,international,444888,778,11666,210,1986
"Supreme Court decision in case of snail darter fish versus Tellico Dam and Reservoir in Tennessee reported.REPORTER: Frank Reynolds(DC) Films of fish and dam shown; details of case given. Strength of court's decision in backing envts.- described Chief Justice Warren Burger's opinion in case, with regard to congress intent in Endangered Species Act, quoted. Dissenting opinions by Justices Powell and Blackmun also quoted. Congress efforts to pass law making Tellico Dam exemption to other law noted.REPORTER: Tim O'Brien Artist: Freda Reiter",hard_news,national,563631,543,10537,90,1978
"(Studio: Connie Chung) .(Kansas City, Missouri: John Dancy) Med. community's fear of new whooping cough epidemic due to liability insurance crisis and implications for vaccine manufacturer examined; polio victim Janay Schwartzlander and whooping cough vaccine victim Abra Yankovich cited as exs. [MOTHERS - explain suing vaccines' manufacturer Lederle Labs.] Econ. impact on Lederle and company's possible halt of whooping cough vaccine manufacturer noted. [Lederle president Robert JOHNSON - explains company's position.] [American Academy of Pediatrics president, Dr. Robert CORWIN - fear vaccine shortage, whooping cough epidemic.] Congress mentioned considering legislature [Senator Christopher DODD - explains proposal.]",hard_news,national,445643,725,11666,200,1986
"Supreme Court ruling on sex discrimination in pension plans due to usual greater longevity of women than men reported.REPORTER: John Hart(DC) Case involving women on pension plan at Los Angeles Water and Power Department detailed. [Effie McADAMS - says women should pay same pension amount as men.] Details given of Court decision, read by Justice Stevens, include congress intention with Civil Rights Act of 1964. Other details of ruling given; NYC's statement with regard to cost of reimbursing women noted.REPORTER: Carl Stern Artist: Betty Wells",hard_news,national,561329,549,10537,100,1978
"Flooding in Midwest from continued heavy rains described, shown.REPORTER: Bob Schieffer",hard_news,national,492501,87,11991,86080,1984
(Studio: John Hart) Paramil. organization conducting exercises in Arizona reported apprehending illegal aliens from Mexico; details given.,hard_news,local,447462,138,11666,20,1986
"Pol. commercial featuring President Reagan noted aired this wkend. in anticipation of Tuesday's electionREPORTER: Morton Dean(DC) Admin.'s assessment of Republican strength in congress races discussed. [Courtesy ABC's """"""""This Week"""""""", Republican pollster Richard WIRTHLIN - isn't worried about election outcome.] [Courtesy """"""""This Week"""""""", Democrat pollster Patrick CADDELL - notes pertinent issues.] Democrat campaign commercial re: Social Security shown; Edmund Muskie's role as Democrat point man mentioned. Findings of CBS """"""""News-New York Times"""""""" poll on Democrat-Republican strength discussed.REPORTER: John Ferrugia Elec. coverage announced.REPORTER: Morton Dean",hard_news,national,506974,664,12403,83300,1982
"[Bypassed introduction](Kuwait: Allen Pizzey) (Report in progress) [Tanker service company Francis De SOUZA - comments.] First day of US-Kuwaiti protection agreement in Persian Gulf and pts. of convoy's vulnerability to Iran featured; details given, scenes shown. [Pentagon spokesperson Robert SIMS - notes risks continue until convoy reaches Kuwait.] [US ambassador Anthony QUAINTON - cites Kuwait's responsibility for its security in its own territories.] Official US """"""""rationale"""""""" for agreement with Kuwait and economy benefits to Kuwait considered.(London, England: Tom Fenton) Possible Iranian attacks against US- protected ships and threats of terrorism against Americans examined; details given, scenes shown. [Iranian diplomacy Mohammed BASTI - warns United States against """"""""continue threatening the revolution.""""""""] [Terrorism expert Paul WILKINSON - notes Iran's megalomaniac perception of world.] Tehran crowd's anti-US chant referring to Marine headquarters bombing in Beirut, Lebanon, quoted; scenes shown.(NOTE: Left margin of picture distorted throughout broadcast)",hard_news,international,423029,1078,11144,190,1987
REPORTER: Tom Brokaw Commentary concerns party platforms' impact on national pols.; past platform fights of both ptys. recalled. Senator Hugh Scott's opposition to John Birch Society mentioned.REPORTER: John Chancellor Barry Goldwater's loss to Lyndon Johnson recalled; his speech at conv. tomorrow discussed. Goldwater profiled in film montage produced by Ray Farkas. [GOLDWATER - defs. quoting Cicero; comments on Richard Nixon's role in Watergate; dismisses Republican party platform's importance; describes his health.]REPORTER: Tom Brokaw,hard_news,national,457423,543,11991,280,1984
"New surgeon general's report on smoking noted; links between cigarettes and number of diseases reported.REPORTER: Walter Cronkite(DC) Details of report given. [Department of Health, Education and Welfare Secretary Joseph CALIFANO - responds to questions with regard to government subsidies to tobacco farmers.] Tobacco Institute's remarks about report, made prior to release, noted. Reaction to report of nonsmokers' rights groups described. [Action of Smoking and Health (ASH) spokesperson John BANZHAF - says report is deficient in what it doesn't reveal.] Percentages for various smoking rates since 1st surgeon general's report on smoking, in 1964, stated.REPORTER: Susan Spencer Report's concession that no study has found way to make it easier to stop smoking reported Ind. efforts to keep people smoking noted.REPORTER: Walter Cronkite(Richmond, Virginia) Details about tobacco industry provisions for smokers given. [Philip Morris spokesperson Ben SOYARS - comments on market for cigarettes.] Competition among brands noted; problems for some companies due to banning of radio and television ads in 1971 reported Marlboro said to be top seller. television ad for Winston shown. Advent of low tar and nicotine cigarettes on market and varying degrees of success they have had detailed. [PEOPLE - discuss smoking and health reports] Size of cigarette market cited.REPORTER: Ray Brady",hard_news,national,539650,1389,12190,350,1979
"Developments possibly affecting national energy policy noted. Federal Reserve's incr. of prime interest rate stated. White House meeting on energy reported.REPORTER: Frank Reynolds(DC) Approval of compromise on natural gas pricing by House-Senator conf. committee reported [President CARTER - describes important of compromise legislature] Details of plan listed. Carter's persuasion of Representatives James Corman and Charles Rangel to sign compromise noted. [CARTER - made no deals with 2 Congmen.] White House statement about Federal Reserve's interest rate hike stated.REPORTER: Sam Donaldson Contd. problems for United States dollar on foreign mkts. reported Government report on inflation rate since 1st of year stated.REPORTER: Frank Reynolds(NYC) Econ. situation involving inflation, devaluation of dollar in US and abroad and effects examined. Federal Reserve's interest rate action mentioned. Other world currency noted include Japanese yen, German mark and Swiss franc.REPORTER: Dan Cordtz",hard_news,national,535112,1001,10537,330,1978
"(Studio: Kathleen Sullivan) .(NYC: Jim Lampley) Chris Evert Lloyd's defeat of Martina Navratilova at French Open reported; scenes shown courtesy NBC Sports. Status of World Cup soccer tournament in Mexico reported; individual player mentioned. Scores listed on screen. Horse trainer Charlie Whittingham's Ferdinand recalled winning Kentucky Derby. Trainer Walter Kelly profiled. [Woody STEPHENS, WHITTINGHAM - praise Kelly.] Prospects for Kelly's Johns Treasure at Belmont Stakes considered. [KELLY - discusses his job, life.] [Owner John MORRELL - trusts Kelly.] [KELLY - comments.] Johns Treasure's showing today against Danzig Connection and Ferdinand mentioned.",soft_news,"international
not_clear",447412,665,11666,300,1986
"Continue strike by independent truckers said apparently having little effect on interstate commerce.REPORTER: Frank Reynolds(No location given) Bombing of Oregon trucker reported; films shown. [Trucker Merle COOPER - describes attack.] Other incidents of violence apparently connected with strike and nonstriking truckers' efforts to assure safety noted. [Agriculture Department spokesperson Michael PFLUGER, wsler. Barry HIRSCH - offer conflicting assessments of strike's effectiveness.] [Trucker Darrel HARRENSTEIN - fears violence.] Strike's impact on Florida agriculture industry described.REPORTER: Roger Peterson",hard_news,national,485294,618,13389,120,1983
"Syria reported downing 2 United States fighter planes over Lebanon, capturing 1 pilot; Syrian demand for release of pilot noted.REPORTER: Peter Jennings(Beirut, Lebanon) Marine casualties during retaliation on United States sites here by Syrian-backed Lebanese militia following major bombing raid by United States aircraft on Syrian positions examined; films shown. [Lieutenant Colonel Ray SMITH - explains circumstances of United States casualties.] Lebanese prime minister Shafik al-Wazan noted claiming to be uninformed of United States attack on Syrian positions in Lebanon; implications of incident for President Amin Gemayel's efforts to improve Lebanese-Syrian relations noted. Latest United States measures effectively pulling rug out from under Gemayel listed, discussed; recent United States-Israeli agreement considered.REPORTER: Charles Glass Total number Marines killed in Lebanon in recent months mentioned; goal of United States attack on Syrian sites explained.REPORTER: Peter Jennings(Damascus, Syria) Syria's refusal to release Navy Lieutenant Robert Goodman until war ends reported; President Hafez al-Assad's plea to other ntns. to intercede to end war on Syria's behalf noted. Photos, films shown. Syrian television noted claiming body of Lieutenant Mark Lange will be returned to United States embassy here after suitable arrangements have been made. Syria's commitment to continue firing on United States reconnaissance flights in region explained; belief here that weekend raids were part of concerted United States-Israeli strategy to take over Syria mentioned.REPORTER: Hal Walker(DC) [Secretary of State George SHULTZ - declines comment on future United States military action in Lebanon.] His assessment of yesterday's United States air strikes, captured United States pilot outlined on screen. [SHULTZ - claims United States will defense self; implies course of current United States policy; thinks American public wants peace in Mideast.] Apparent underlying United States strategy discussed.REPORTER: Barrie Dunsmore REPORTER: Peter Jennings(DC) Israeli military competence in Lebanon, as demonstrated by its relative lack of losses in air runs over region as compared to United States, examined; films shown. USS New Jersey noted capable of eliminating Syrian targets without risk of life; questions raised by United States air raids on Syrian sites this weekend considered. Vulnerability of United States planes used explained, discussed; factors apparently affecting performances of United States versus Israeli air raids compared.REPORTER: Jack Smith Implications of USSR news agency's statement today on Lebanon considered.REPORTER: Peter Jennings",hard_news,international,490190,2684,13389,460,1983
"Failure of Republican effort, led by President Reagan, to break Senator filibuster to raise national debt ceiling which contains amendment to balance federal budget reported.REPORTER: Sam Donaldson(DC) Today's Senator session examined. President's statement to Senator quoted on screen, discussed. Final vote listed on screen.REPORTER: Ann Compton Artist: Judy Lineberger",hard_news,national,472651,371,12031,120,1985
"REPORTER: Frank Reynolds(DC) Senator Edward Kennedy's independent hearing into effect of President Reagan's proposed budget cuts on labor, health and education examined. [National Council of Senior Citizens spokesperson William HUTTON, National Educ. Association president Willard McGUIRE, UAW (United Automobile, Aerospace and Agricultural Implement Workers of America) president Doug FRASER - note budget proposals' impact on Medicaid, public education] Reaction to cuts in government's farm support program outlined. [Senators Mark ANDREWS, Roger JEPSEN - debate government's role.] Final vote with regard to elimination of price support increase reported]REPORTER: Brit Hume(Chicago, Illinois) Govt.'s dairy price support program said example of New Deal econs.; explanation given. [Farmer Tom DOOLITTLE-notes dependency of farmers on program.] Details of program given. [Farmer Debbie CAMENZIND - states condition for farmers' support of Reagan.] Anticipated result of cutback in support discussed.REPORTER: Jim Hickey (KETV film/tape)",hard_news,national,532167,1040,13046,210,1981
"Christmas orphan story introducedREPORTER: Sander Vanocur(Nairobi, Kenya) Animal orphanage featured. Poverty in Kenya cited. Scenes of children shown. Treating of injured animals noted. Baby elephants featured. Bottle feeding shown. [Animal keeper Henry MBOYA - speaks of animals.) Plans for returning elephants to bush discussed.REPORTER: Roger Caras",soft_news,international,527093,351,12296,180,1980
"Question of funding of military laser weapons in space noted coming up in Congress; current status of United States and USSR satellite programs mentioned.REPORTER: Dan Rather(NYC) [December 24, 1968, voice of Frank BORNAN - reads passage from Genesis.] Potential use of laser weapons in space examined; films, animations shown. [Defense Research Project Agency spokesperson Robert FOSSUM - notes United States space policy so far.] [Arms control analyst Paul STARES - cites potential for paranoia.] USSR test of anti-satellite system in 1968 recalled, discussed; system explained. Pros and cons of USSR system considered. [STARES - comments.] United States system, a satellite intercepter, discussed. [Former undersecretary of defense William PERRY - thinks United States system is better.] [Senator Malcolm WALLOP - notes limitations of anti-satellite devices.] Possibility of orbital anti-ballistic system discussed. [WALLOP - cites excess power of laser weapons.] [FOSSUM - thinks laser is natural system to be used in space.] Next report previewed.",hard_news,national,532848,1052,13046,350,1981
"Lengthy meeting today between President Carter and Jordan's King Hussein said apparently bringing them no closer on Hussein's role in Mideast peace process.REPORTER: Walter Cronkite(DC) Diff. in atmosphere between this visit and Hussein's past White House visits noted; films shown. [President CARTER - notes difference of approach to current crisis.] [HUSSEIN - comments on mutual commitment of both govts.] Senior White House official quoted with regard to leaders' discussion of varying approaches to Camp David formula; Hussein's later remarks to Congress with regard to continued disagreement between himself and Carter outlined. Hussein's meeting with Defense Secretary Harold Brown with regard to military aid and plans to resume discussions with Carter tomorrow reported White House hopes for Hussein joining Israel-Egypt autonomy talks mentioned as unrealistic objective.REPORTER: Lesley Stahl President Anwar Sadat's reaction to Hussein's White House conference outlined.REPORTER: Walter Cronkite(Alexandria, Egypt) Sadat's meeting with Israeli ambassador Eliahu Ben-Elissar mentioned; films shown. [SADAT - comments on Hussein's allegedly not joining Camp David accords because of money.] Sadat's allegation that Hussein has been bought by other Arab states outlined; warning re: Camp David approach by Sadat's chief military adviser noted.REPORTER: Doug Sager [Former Israeli defense minister Ezer WEIZMAN - comments on attempt to get Hussein involved in peace negotiations; mentions Six Day War, Gamal Nasser, military treaty between Egypt and Jordan, Jordan-Israel rel., Camp David process, Begin government settlements policy, possible Weizman coalition for next Israeli election]REPORTER: Walter Cronkite",hard_news,international,517453,1720,12296,440,1980
Israeli's Prime Min. Menahem Begin said warning that Israel would continue attacks on Palestinian guerrilla bases; Israel's continued raids into south Lebanon mentioned.REPORTER: John Chancellor,hard_news,international,520758,194,12296,86390,1980
"President Reagan's pressure on banks to lower auto loans interest rates noted.REPORTER: Tom Brokaw(Plainfield, IN) Current interest rates chgd. by major banks noted; First National Bank of Plainfield, IN, and its approach to auto loans featured. [Bank president Larry SUMMERS - defs. low interest rates.] [WOMAN - praises bank.] [Dealer Tom COSTIN - notes probable impact on business]REPORTER: Emery King",hard_news,national,499602,404,12403,110,1982
"Miami-Boston College game, with exceptional pass by Doug Flutie, featured, shown.REPORTER: Tom Brokaw",soft_news,"national
not_clear",458028,101,11991,40,1984
"President Reagan's recent pledge to strengthen Fair Hsing. Act recalled.REPORTER: Morton Dean(DC) Lack of enforcement of Act, designed to prevent discrimination by landlords, examined; Baltimore cited as example [Mary HARRIS - recalls reaction to discrimination.] Odds against landlords being sued noted in their favor; number suits initiated by Reagan administration mentioned. Expense and time said factors in individuals bringing suit. Legis. sponsored by Senators Edward Kennedy and Charles Mathias and that recommended by Reagan administration discussed. [Assistant attorney general William Bradford REYNOLDS - promotes administration legislature] Lack of support for administration legislature noted. [National Committee Against Discrimination in Hsing. spokesperson Martin SLOANE - notes abysmal civil rights record of Justice Department] Basis of support for Kennedy-Mathias bill explained. [MATHIAS - considers administration's enforcement scheme cumbersome.] [REYNOLDS - denies additional bureaucracy.] [National Association of Realtors spokesperson Bill NORTH - cites need to clarify law.]REPORTER: Bill Lynch",hard_news,national,482286,1120,13389,240,1983
"G. William Miller, during confirmation hearings said acknowledging for 1st time that nation in recession.REPORTER: Max Robinson(DC) Miller's testimony outlined. [Senator Herman TALMADGE - asks if we're in recession now.] [MILLER - responds.] [TALMADGE and MILLER - exchange comments with regard to unemployment.] Miller quoted with regard to inflation, minimum wage, taxes. [MILLER - comments with regard to tax cut.] [Senator Max BAUCUS - asks why Miller left Federal Reserve Bd. for Treasury] [MILLER - responds.]REPORTER: Catherine Mackin",hard_news,national,542784,541,12190,130,1979
"(Studio: Peter Jennings) Car bombing in Kabul, Afghanistan reported",hard_news,international,429221,67,11144,86390,1987
"(Studio: Garrick Utley) .(Chicago, Illinois: Jim Cummins) Tomorrow's lighting up of Chicago Cubs' park, Wrigley Field, featured; details given of team's tradition of playing only day baseball, game scenes shown. Neighborhood opposition to night games reported [MAN, Beth KELLY - react to the change.] [Cubs announcer Harry CARAY - says now day workers can come to some games.] [Player Andre DAWSON - praises important of day baseball to kids.](Studio: Garrick Utley) Decision by owner P.K. Wrigley to install lights in 1941 just before Pearl Harbor was attacked recalled.",soft_news,local,437385,571,11070,180,1988
"(Studio: Bernard Shaw) .(Banja Luka, Bosnia: Hilary Bowker) Raids in Bosnia by NATO (North Atlantic Treaty Organization) peacekeepers in Banja Luka, aimed at weakening Bosnian Serb leader Radovan Karadzic and protecting Bosnian Serb President Biljana Plavsic, who may have been the target of a coup plot despiute being a Serb ultra-nationalist, featured. [PLAVSIC; security chief Lieutenant Colonel Predraq CERANIC - (thru translator) comment on the situation.]",hard_news,international,287452,461,15920,220,1997
"(Studio: Dan Rather) Kuwaiti financial contribution to Operation Desert Storm cited. .(Cairo: Peter Van Sant) Kuwaiti draft-age men enjoying themselves in Cairo, Egypt, discos instead of fighting for Kuwait's liberation featured; scenes shown. [Egyptian Rhonda TAHER, driver Mohammed FAHATEH - speak poorly of rich Kuwaitis.] [Kuwaiti spokesman Faisal al ANI, KUWAITI - comment.]",hard_news,international,389093,379,10074,150,1991
"(Studio: Dan Rather) .(Beijing, China: Susan Spencer) Many protesters and Chinese citizens reported fearing reprisals for their roles in demonstrations; details given, scenes shown. [Asia Watch spokesperson Sidney JONES - comments on labor camps.] No. of people in prison camps in China estimate [China specialist Orville SCHELL - comments on suspected human rights violations here.] Chinese treatment of Tibetans discussed; scenes shown. [Human rights activist FANG Lizhi - is glad that protests received international attention]",hard_news,international,407452,530,11320,85970,1989
"(Studio: Dan Rather) .(New York: Dr. Bob Arnot) The healthy sextuplets born to Michelle Haner of Albany, New York, shown. [Father Norman HANER, perinatologist Dr. Marla EGLOWSTEIN, Dr. Edgar HENRIQUES, Dr. William LEDGER, Dr. Albert APICELLI - comment on the sextuplets and the rising number of multiple births due to new fertility drugs.]",soft_news,local,309770,339,15988,100,1996
(Studio: Carole Simpson) .(Manila: Mark Litke) The tenth anniversary of the revolution in the Philippines that ousted dictator Ferdinand Marcos featured; scenes shown from Manila then and now. [Former President Corazon AQUINO - recalls the peaceful restoration of democracy.] The problems in the government and the economy in the Philippines reviewed. [Philippine President Fidel RAMOS - makes speech.],hard_news,international,308895,402,15988,150,1996
"(Studio: Peter Jennings) Senator rejection of nomination of Secretary of Defense-designate John Tower for Defense Department post noted. .(DC: Jim Wooten) Defeat of Tower nomination featured; scenes shown from Senator [Vice President Dan QUAYLE - reads vote count.] Crossing of party lines by Senator Nancy Kassebaum, Lloyd Bentsen, Christopher Dodd and Howell Heflin noted. [Senators Robert DOLE, Rudy BOSCHWITZ, Sam NUNN, John McCAIN - comment on proceedings.](Studio: Peter Jennings ) .(DC: Bob Zelnick) Aftermath of Senate vote reported; Tower's feelings throughout confirmation process detailed. [TOWER - says there were no findings that he breached ethics.] Possible replacements reported to include Martin Marietta's Norman Augustine, Rand Corp.'s Don. Rice, ex-Defense Secretary Don. Rumsfeld, ex-Congress Jack Edwards and national security advisor Brent Scowcroft. Tower's future plans mentioned.(Studio: Peter Jennings ; NYC: Brit Hume; DC: Jim Wooten) Reaction of President Bush to this setback and partisan nature of opposition to Tower reviewed; discussion of this issue's impact on future relations of Bush and Democrats in Congress held.",hard_news,national,411386,1152,11320,380,1989
(Studio: Diane Sawyer) .(Washington: George Strait) Decision by President Clinton's administration to require states to fund abortions for poor women in cases of rape and incest featured. [National Right to Life Committee Douglas JOHNSON - talks about the state funding issue.] [National Abortion Rights Action League Kate MICHELMAN - opposes abortion policies.] Next year's link of the Clinton health care plan and abortion funding issues noted.,hard_news,national,356985,446,10977,130,1993
"(Studio: Dan Rather) .(New York: Dr. Bob Arnot) Results from the latest research on breast cancer given; details given concerning DCIS cancer. [University of California Virginia ERNSTER, Dr. Gordon SCHWARTZ, Dr. Melvin SILVERSTEIN - comment on the over-treatment by mastectomy of non-malignant cancers.]",hard_news,national,308764,303,15988,140,1996
(Studio: Dan Rather) .(Studio: Bob Schieffer) The battle for control of the Senate featured; details given of the seats up for grabs and the likely winners.,hard_news,national,324210,156,15988,120,1996
(Studio: Peter Jennings) The millions spend on the Congressional and Senate campaigns cited.(Studio: Jeff Greenfield) Negative television political commercials examined; excerpts shown from many television ads to illustrate their tone. The questions raised as to how voters will respond to the fear and pessimism in the ads.,hard_news,national,339178,324,11094,170,1994
(Studio: Carole Simpson) .(Moscow: Barrie Dunsmore) Protest in Moscow calling for dismantling of the Soviet economic system featured; scenes shown of large demonstration designed to influence the parliament that begins debate tomorrow on an economic plan that would transform the USSR . Plan outlined on screen. Prime Minister Nikolai Ryzhkov's criticism of plan that is supported by President Mikhail Gorbachev noted.(Studio: Carole Simpson) Former President Ronald and Nancy Reagan shown visiting Moscow.,hard_news,international,391521,506,10970,120,1990
